index,sample.ID,ID,split,fold
4,100,100,test,-1
5,1000,1000,calibration,2
6,10000,10000,test,-1
7,10001,10001,calibration,2
8,10002,10002,calibration,1
9,10004,10004,calibration,3
10,10005,10005,test,-1
11,10006,10006,calibration,2
12,10007,10007,calibration,1
13,10008,10008,test,-1
14,10009,10009,test,-1
15,1001,1001,calibration,5
16,10010,10010,calibration,2
17,10011,10011,calibration,1
18,10012,10012,test,-1
19,10013,10013,calibration,1
20,10014,10014,calibration,5
21,10015,10015,test,-1
22,10016,10016,test,-1
23,10017,10017,calibration,5
24,10018,10018,calibration,1
25,10019,10019,calibration,5
26,1002,1002,calibration,2
27,10020,10020,calibration,4
28,10021,10021,test,-1
29,10022,10022,test,-1
30,10023,10023,test,-1
31,10024,10024,calibration,4
32,10025,10025,calibration,1
33,10026,10026,calibration,3
34,10027,10027,calibration,3
35,10029,10029,calibration,2
36,10030,10030,calibration,1
37,10031,10031,test,-1
38,10032,10032,calibration,5
39,10033,10033,calibration,4
40,10034,10034,test,-1
41,10036,10036,calibration,2
42,10037,10037,test,-1
43,10038,10038,test,-1
44,10039,10039,test,-1
45,1004,1004,test,-1
46,10040,10040,calibration,5
47,10041,10041,calibration,3
48,10042,10042,calibration,3
49,10043,10043,test,-1
50,10044,10044,calibration,3
51,10045,10045,calibration,2
52,10046,10046,test,-1
53,10047,10047,calibration,1
54,10048,10048,calibration,3
55,10049,10049,test,-1
56,1005,1005,test,-1
57,10050,10050,test,-1
58,10051,10051,calibration,3
59,10052,10052,calibration,3
60,10053,10053,calibration,1
61,10054,10054,calibration,4
62,10055,10055,test,-1
63,10056,10056,calibration,5
64,10057,10057,calibration,5
65,10058,10058,calibration,5
66,10059,10059,calibration,2
67,1006,1006,test,-1
68,10060,10060,calibration,5
69,10061,10061,test,-1
70,10062,10062,calibration,1
71,10063,10063,calibration,5
72,10064,10064,calibration,5
73,10065,10065,calibration,2
74,10066,10066,test,-1
75,10067,10067,test,-1
76,10068,10068,calibration,1
77,10069,10069,test,-1
78,1007,1007,calibration,3
79,10070,10070,calibration,5
80,10071,10071,calibration,2
81,10072,10072,test,-1
82,10073,10073,test,-1
83,10074,10074,calibration,1
84,10075,10075,calibration,4
85,10076,10076,test,-1
86,10077,10077,test,-1
87,10078,10078,calibration,5
88,10079,10079,calibration,1
89,1008,1008,test,-1
90,10080,10080,calibration,3
91,10081,10081,calibration,2
92,10083,10083,test,-1
93,10084,10084,test,-1
94,10085,10085,test,-1
95,10086,10086,test,-1
96,10087,10087,calibration,1
97,10088,10088,calibration,5
98,1009,1009,calibration,3
99,10090,10090,test,-1
101,10092,10092,calibration,1
102,10094,10094,test,-1
103,10095,10095,test,-1
104,10096,10096,calibration,4
105,10097,10097,calibration,1
106,10098,10098,calibration,2
107,10099,10099,test,-1
108,101,101,calibration,5
109,1010,1010,calibration,2
110,10100,10100,calibration,4
111,10101,10101,calibration,4
112,10102,10102,test,-1
113,10103,10103,calibration,2
114,10104,10104,calibration,5
115,10105,10105,calibration,4
116,10106,10106,test,-1
117,10107,10107,calibration,3
